glyph,reference_font,reference_upm,reference_width_em,reference_height_em,reference_center_x_em,reference_center_y_em,old_width_em,old_height_em,old_center_x_em,old_center_y_em,new_width_em,new_height_em,new_center_x_em,new_center_y_em,uniform_scale,dx,dy
ひ,Noto Sans CJK JP Regular,1000,0.837,0.789,0.5275,0.3445,0.5703125,0.5244140625,0.4658203125,0.34814453125,0.82421875,0.65625,0.4970703125,0.3466796875,1.253447,29.58,-5.366
ひ,Source Han Sans JP Regular,1000,0.837,0.789,0.5275,0.3445,0.5703125,0.5244140625,0.4658203125,0.34814453125,0.82421875,0.65625,0.4970703125,0.3466796875,1.253447,29.58,-5.366
ふ,Noto Sans CJK JP Regular,1000,0.92,0.802,0.502,0.372,0.6064453125,0.57421875,0.46630859375,0.349609375,0.7568359375,0.6875,0.48388671875,0.3603515625,1.18348,16.274,7.964
ふ,Source Han Sans JP Regular,1000,0.92,0.802,0.502,0.372,0.6064453125,0.57421875,0.46630859375,0.349609375,0.7568359375,0.6875,0.48388671875,0.3603515625,1.18348,16.274,7.964
へ,Noto Sans CJK JP Regular,1000,0.895,0.5984301416195923,0.5035,0.3362150708097961,0.5341796875,0.3671875,0.46826171875,0.3583984375,0.7763671875,0.482421875,0.48583984375,0.3466796875,1.177765,18.042,11.6421
へ,Source Han Sans JP Regular,1000,0.895,0.5984301416195923,0.5035,0.3362150708097961,0.5341796875,0.3671875,0.46826171875,0.3583984375,0.7763671875,0.482421875,0.48583984375,0.3466796875,1.177765,18.042,11.6421
ほ,Noto Sans CJK JP Regular,1000,0.831,0.803,0.5305,0.3645,0.5556640625,0.4326171875,0.46826171875,0.34814453125,0.724609375,0.6181640625,0.4990234375,0.35595703125,1.09223,32.866,7.374
ほ,Source Han Sans JP Regular,1000,0.831,0.803,0.5305,0.3645,0.5556640625,0.4326171875,0.46826171875,0.34814453125,0.724609375,0.6181640625,0.4990234375,0.35595703125,1.09223,32.866,7.374
ま,Noto Sans CJK JP Regular,1000,0.684,0.84,0.524,0.374,0.44140625,0.6787109375,0.4658203125,0.35009765625,0.5498046875,0.759765625,0.49462890625,0.3623046875,1.146067,27.288,9.738
ま,Source Han Sans JP Regular,1000,0.684,0.84,0.524,0.374,0.44140625,0.6787109375,0.4658203125,0.35009765625,0.5498046875,0.759765625,0.49462890625,0.3623046875,1.146067,27.288,9.738
み,Noto Sans CJK JP Regular,1000,0.876,0.811,0.51,0.3455,0.4541015625,0.5166015625,0.46826171875,0.35009765625,0.791015625,0.6640625,0.4892578125,0.34765625,1.239516,21.87,-6.854
み,Source Han Sans JP Regular,1000,0.876,0.811,0.51,0.3455,0.4541015625,0.5166015625,0.46826171875,0.35009765625,0.791015625,0.6640625,0.4892578125,0.34765625,1.239516,21.87,-6.854
む,Noto Sans CJK JP Regular,1000,0.83,0.835,0.507,0.3755,0.484375,0.5859375,0.4658203125,0.3447265625,0.55859375,0.7099609375,0.486328125,0.35986328125,1.068027,19.084,7.756
む,Source Han Sans JP Regular,1000,0.83,0.835,0.507,0.3755,0.484375,0.5859375,0.4658203125,0.3447265625,0.55859375,0.7099609375,0.486328125,0.35986328125,1.068027,19.084,7.756
め,Noto Sans CJK JP Regular,1000,0.82,0.826,0.496,0.369,0.5927734375,0.4990234375,0.46826171875,0.35009765625,0.6611328125,0.6630859375,0.48193359375,0.35986328125,0.984943,16.702,10.178
め,Source Han Sans JP Regular,1000,0.82,0.826,0.496,0.369,0.5927734375,0.4990234375,0.46826171875,0.35009765625,0.6611328125,0.6630859375,0.48193359375,0.35986328125,0.984943,16.702,10.178
も,Noto Sans CJK JP Regular,1000,0.776,0.838,0.482,0.373,0.4990234375,0.60546875,0.46923828125,0.3486328125,0.537109375,0.72265625,0.4755859375,0.3603515625,1.085869,8.034,8.976
も,Source Han Sans JP Regular,1000,0.776,0.838,0.482,0.373,0.4990234375,0.60546875,0.46923828125,0.3486328125,0.537109375,0.72265625,0.4755859375,0.3603515625,1.085869,8.034,8.976
や,Noto Sans CJK JP Regular,1000,0.853,0.859,0.4865,0.3775,0.54296875,0.6611328125,0.4755859375,0.34912109375,0.6875,0.7607421875,0.4814453125,0.36376953125,1.151094,12.588,10.03
や,Source Han Sans JP Regular,1000,0.853,0.859,0.4865,0.3775,0.54296875,0.6611328125,0.4755859375,0.34912109375,0.6875,0.7607421875,0.4814453125,0.36376953125,1.151094,12.588,10.03
ゆ,Noto Sans CJK JP Regular,1000,0.775,0.857,0.5195,0.3645,0.4755859375,0.6357421875,0.46923828125,0.35009765625,0.6357421875,0.7470703125,0.49462890625,0.35693359375,1.129014,26.234,3.874
ゆ,Source Han Sans JP Regular,1000,0.775,0.857,0.5195,0.3645,0.4755859375,0.6357421875,0.46923828125,0.35009765625,0.6357421875,0.7470703125,0.49462890625,0.35693359375,1.129014,26.234,3.874
よ,Noto Sans CJK JP Regular,1000,0.729,0.831,0.4905,0.3695,0.4619140625,0.5419921875,0.46435546875,0.34619140625,0.63671875,0.685546875,0.4775390625,0.357421875,1.063839,10.386,4.934
よ,Source Han Sans JP Regular,1000,0.729,0.831,0.4905,0.3695,0.4619140625,0.5419921875,0.46435546875,0.34619140625,0.63671875,0.685546875,0.4775390625,0.357421875,1.063839,10.386,4.934
ら,Noto Sans CJK JP Regular,1000,0.674,0.823846488190992,0.515,0.37207675590450395,0.4033203125,0.6171875,0.47021484375,0.3515625,0.5693359375,0.720703125,0.49267578125,0.361328125,1.08649,24.93,8.5033
ら,Source Han Sans JP Regular,1000,0.674,0.823846488190992,0.515,0.37207675590450395,0.4033203125,0.6171875,0.47021484375,0.3515625,0.5693359375,0.720703125,0.49267578125,0.361328125,1.08649,24.93,8.5033
り,Noto Sans CJK JP Regular,1000,0.58,0.842,0.502,0.371,0.296875,0.6640625,0.4697265625,0.3525390625,0.41015625,0.7529296875,0.486328125,0.36181640625,1.138791,19.524,8.952
り,Source Han Sans JP Regular,1000,0.58,0.842,0.502,0.371,0.296875,0.6640625,0.4697265625,0.3525390625,0.41015625,0.7529296875,0.486328125,0.36181640625,1.138791,19.524,8.952
る,Noto Sans CJK JP Regular,1000,0.744,0.797,0.484,0.3555,0.3994140625,0.55859375,0.46826171875,0.3466796875,0.4931640625,0.6787109375,0.47607421875,0.35107421875,1.009113,12.058,-1.484
る,Source Han Sans JP Regular,1000,0.744,0.797,0.484,0.3555,0.3994140625,0.55859375,0.46826171875,0.3466796875,0.4931640625,0.6787109375,0.47607421875,0.35107421875,1.009113,12.058,-1.484
れ,Noto Sans CJK JP Regular,1000,0.92,0.832,0.514,0.378,0.5439453125,0.6748046875,0.46630859375,0.35009765625,0.841796875,0.75390625,0.490234375,0.3642578125,1.282132,22.918,10.286
れ,Source Han Sans JP Regular,1000,0.92,0.832,0.514,0.378,0.5439453125,0.6748046875,0.46630859375,0.35009765625,0.841796875,0.75390625,0.490234375,0.3642578125,1.282132,22.918,10.286
ろ,Noto Sans CJK JP Regular,1000,0.744,0.789223114179397,0.48,0.3503884429103015,0.39453125,0.4892578125,0.46875,0.34716796875,0.484375,0.6396484375,0.474609375,0.34814453125,0.972211,7.76,-4.3511
ろ,Source Han Sans JP Regular,1000,0.744,0.789223114179397,0.48,0.3503884429103015,0.39453125,0.4892578125,0.46875,0.34716796875,0.484375,0.6396484375,0.474609375,0.34814453125,0.972211,7.76,-4.3511
わ,Noto Sans CJK JP Regular,1000,0.8740050705405253,0.832,0.49200253527026266,0.378,0.626953125,0.619140625,0.4833984375,0.369140625,0.677734375,0.724609375,0.48828125,0.3740234375,1.111751,19.4053,21.036
わ,Source Han Sans JP Regular,1000,0.8740050705405253,0.832,0.49200253527026266,0.378,0.626953125,0.619140625,0.4833984375,0.369140625,0.677734375,0.724609375,0.48828125,0.3740234375,1.111751,19.4053,21.036
を,Noto Sans CJK JP Regular,1000,0.787,0.843,0.4885,0.3765,0.3974609375,0.7216796875,0.46826171875,0.34716796875,0.646484375,0.783203125,0.478515625,0.3623046875,1.18494,9.862,9.018
を,Source Han Sans JP Regular,1000,0.787,0.843,0.4885,0.3765,0.3974609375,0.7216796875,0.46826171875,0.34716796875,0.646484375,0.783203125,0.478515625,0.3623046875,1.18494,9.862,9.018
ん,Noto Sans CJK JP Regular,1000,0.871,0.816,0.5115,0.37,0.6005859375,0.6171875,0.46826171875,0.3466796875,0.6953125,0.7158203125,0.490234375,0.35791015625,1.068027,24.138,8.94
ん,Source Han Sans JP Regular,1000,0.871,0.816,0.5115,0.37,0.6005859375,0.6171875,0.46826171875,0.3466796875,0.6953125,0.7158203125,0.490234375,0.35791015625,1.068027,24.138,8.94
